Episode Title,Episode URL,Reference
Prêmio IgNobel 2024 - Parte 1 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-427-premio-ignobel-2024-parte-1-de-2/,"2020, o ano que nunca acabou
Braincast"
Prêmio IgNobel 2024 - Parte 1 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-427-premio-ignobel-2024-parte-1-de-2/,"Ruptura [S2]
Cinemático"
Facebook,https://www.facebook.com/sharer.php?u=https://www.b9.com.br/shows/naruhodo/naruhodo-427-premio-ignobel-2024-parte-1-de-2/,
JavaScript is not available.,https://twitter.com/share?url=https://www.b9.com.br/shows/naruhodo/naruhodo-427-premio-ignobel-2024-parte-1-de-2/&via=brains9&text=Naruhodo #427 – Prêmio IgNobel 2024 – Parte 1 de 2,
Seu nome pode afetar a forma do seu rosto?,https://www.b9.com.br/shows/naruhodo/naruhodo-426-seu-nome-pode-afetar-a-forma-do-seu-rosto/,"Estamos passando pano pra IA?
Braincast"
Seu nome pode afetar a forma do seu rosto?,https://www.b9.com.br/shows/naruhodo/naruhodo-426-seu-nome-pode-afetar-a-forma-do-seu-rosto/,"Oeste Outra Vez
Cinemático"
Seu nome pode afetar a forma do seu rosto?,https://www.b9.com.br/shows/naruhodo/naruhodo-426-seu-nome-pode-afetar-a-forma-do-seu-rosto/,"Chico Bento e a Goiabeira Maraviosa
Cinemático"
Seu nome pode afetar a forma do seu rosto?,https://www.b9.com.br/shows/naruhodo/naruhodo-426-seu-nome-pode-afetar-a-forma-do-seu-rosto/,"Entrevista #39: Mila Massuda
Naruhodo!"
Seu nome pode afetar a forma do seu rosto?,https://www.b9.com.br/shows/naruhodo/naruhodo-426-seu-nome-pode-afetar-a-forma-do-seu-rosto/,"2020, o ano que nunca acabou
Braincast"
Facebook,https://www.facebook.com/sharer.php?u=https://www.b9.com.br/shows/naruhodo/naruhodo-426-seu-nome-pode-afetar-a-forma-do-seu-rosto/,
JavaScript is not available.,https://twitter.com/share?url=https://www.b9.com.br/shows/naruhodo/naruhodo-426-seu-nome-pode-afetar-a-forma-do-seu-rosto/&via=brains9&text=Naruhodo #426 – Seu nome pode afetar a forma do seu rosto?,
O que é competitividade? - Parte 2 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-425-o-que-e-competitividade-parte-2-de-2/,"Estamos passando pano pra IA?
Braincast"
O que é competitividade? - Parte 2 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-425-o-que-e-competitividade-parte-2-de-2/,"Oeste Outra Vez
Cinemático"
O que é competitividade? - Parte 2 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-425-o-que-e-competitividade-parte-2-de-2/,"Chico Bento e a Goiabeira Maraviosa
Cinemático"
O que é competitividade? - Parte 2 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-425-o-que-e-competitividade-parte-2-de-2/,"Entrevista #39: Mila Massuda
Naruhodo!"
O que é competitividade? - Parte 2 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-425-o-que-e-competitividade-parte-2-de-2/,"2020, o ano que nunca acabou
Braincast"
Facebook,https://www.facebook.com/sharer.php?u=https://www.b9.com.br/shows/naruhodo/naruhodo-425-o-que-e-competitividade-parte-2-de-2/,
JavaScript is not available.,https://twitter.com/share?url=https://www.b9.com.br/shows/naruhodo/naruhodo-425-o-que-e-competitividade-parte-2-de-2/&via=brains9&text=Naruhodo #425 – O que é competitividade? – Parte 2 de 2,
O que é competitividade? - Parte 1 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-424-o-que-e-competitividade-parte-1-de-2/,"Estamos passando pano pra IA?
Braincast"
O que é competitividade? - Parte 1 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-424-o-que-e-competitividade-parte-1-de-2/,"Oeste Outra Vez
Cinemático"
O que é competitividade? - Parte 1 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-424-o-que-e-competitividade-parte-1-de-2/,"Chico Bento e a Goiabeira Maraviosa
Cinemático"
O que é competitividade? - Parte 1 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-424-o-que-e-competitividade-parte-1-de-2/,"Entrevista #39: Mila Massuda
Naruhodo!"
O que é competitividade? - Parte 1 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-424-o-que-e-competitividade-parte-1-de-2/,"2020, o ano que nunca acabou
Braincast"
Facebook,https://www.facebook.com/sharer.php?u=https://www.b9.com.br/shows/naruhodo/naruhodo-424-o-que-e-competitividade-parte-1-de-2/,
JavaScript is not available.,https://twitter.com/share?url=https://www.b9.com.br/shows/naruhodo/naruhodo-424-o-que-e-competitividade-parte-1-de-2/&via=brains9&text=Naruhodo #424 – O que é competitividade? – Parte 1 de 2,
Lentes que filtram a cor azul são benéficas?,https://www.b9.com.br/shows/naruhodo/naruhodo-423-lentes-que-filtram-a-cor-azul-sao-beneficas/,"Oeste Outra Vez
Cinemático"
